PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Xia, Y; Dong, ZW; Guo, XY; Tian, QH; Liu, Y				Xia, Yang; Dong, Zhao-wang; Guo, Xue-yi; Tian, Qing-hua; Liu, Yong			Towards a circular metal additive manufacturing through recycling of materials: A mini review	JOURNAL OF CENTRAL SOUTH UNIVERSITY			English	Review						recycling; additive manufacturing; titanium; powder	ASSISTED MAGNESIOTHERMIC REDUCTION; ELECTROCHEMICAL DEOXIDATION; MECHANICAL-PROPERTIES; POWDER REUSE; TITANIUM; ENERGY; ALLOY; DEOXYGENATION; TI-6AL-4V; DEPOSITION	Additive manufacturing is a new emerging technology which is ideal for low-to-zero waste production, and it is considered to be a green and clean process that has the potential to lower the cost and energy consumption of production. However, the cost of the feedstock for additive manufacturing and the additive manufactured parts is usually very high, which hinders the further application of additive manufacturing, especially for the metal additive manufacturing. The concept of circular metal additive manufacturing involves the recycling of the metal feedstock and the additive manufactured parts leading to the truly zero waste production and the most energy saving. This paper reviews the technologies that help the formation of a circular metal additive manufacturing through recycling of the feedstocks and the damaged metal parts. Reactive metals, such as titanium, tend to be contaminated easily during handling and production. Recycling of the titanium for achieving a circular titanium additive manufacturing is reviewed in detail.	[Xia, Yang; Dong, Zhao-wang; Guo, Xue-yi; Tian, Qing-hua] Cent South Univ, Sch Met & Environm, Changsha 410083, Peoples R China; [Liu, Yong] Cent South Univ, State Key Lab Powder Met, Changsha 410083, Peoples R China		Xia, Y; Guo, XY (corresponding author), Cent South Univ, Sch Met & Environm, Changsha 410083, Peoples R China.	yang.xia@uqconnect.edu.au; xyguo@csu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51922108]; Hunan Natural Science Foundation, China [2019JJ20031]; Hunan Key Research and Development Program, China [2019SK2061]	Project(51922108) supported by the National Natural Science Foundation of China; Project(2019JJ20031) supported by Hunan Natural Science Foundation, China; Project(2019SK2061) supported by Hunan Key Research and Development Program, China		70	6	6	43	68	JOURNAL OF CENTRAL SOUTH UNIV	HUNAN	EDITORIAL OFF, CHANGSHA, CHINA MAINLAND, HUNAN 410083, PEOPLES R CHINA	2095-2899	2227-5223		J CENT SOUTH UNIV	J. Cent. South Univ.	APR	2020	27	4			SI		1134	1145		10.1007/s11771-020-4354-6			12	Metallurgy & Metallurgical Engineering	Science Citation Index Expanded (SCI-EXPANDED)	Metallurgy & Metallurgical Engineering	LN6YY	WOS:000533081400008					2022-01-29	
C	Kumar, R				Kumar, Ranvijay			Tertiary and quaternary recycling of thermoplastics by additive manufacturing approach for thermal sustainability	MATERIALS TODAY-PROCEEDINGS			English	Proceedings Paper	International Conference on Newer Trends and Innovations in Mechanical Engineering (ICONTIME) - Materials Science	OCT 15-16, 2020	ELECTR NETWORK			Plastic solid waste; Incineration; Plastic end-use; Additive manufacturing; Thermal sustainability		The low recyclability of the thermoplastic-based materials is still one of the most challenging issues to restrict environmental pollution. When the thermoplastics based materials are gathered in the form of the waste, and these declared as not to use further in any applications, then it processed through the chemical and thermal recycling for reuse and energy generation. The ternary and quaternary type of recycling processes are among the four basic recycling processes, which is considered under the chemical and thermal recycling process, respectively. The additive manufacturing is one of the revolutionary tools of a modern manufacturing system that can be used for recycling by chemical and thermal mean. This study is the state of art review for the additive manufacturing tools and techniques for the ternary and quaternary recycling of the thermoplastic waste. The thermal sustainability of the additively manufactured thermoplastic-based materials is the main highlights of this study. (C) 2020 Elsevier Ltd. All rights reserved.	[Kumar, Ranvijay] Chandigarh Univ, Univ Ctr Res & Dev, Kochi, India		Kumar, R (corresponding author), Chandigarh Univ, Univ Ctr Res & Dev, Kochi, India.							44	2	2	1	3	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	2214-7853			MATER TODAY-PROC	Mater. Today-Proc.		2021	37		2		SI		2382	2386		10.1016/j.matpr.2020.08.183			5	Materials Science, Multidisciplinary	Conference Proceedings Citation Index - Science (CPCI-S)	Materials Science	QQ1VX	WOS:000624316000415					2022-01-29	
J	Huang, HH; Liu, WH; Liu, ZF				Huang, Haihong; Liu, Weihao; Liu, Zhifeng			An additive manufacturing-based approach for carbon fiber reinforced polymer recycling	CIRP ANNALS-MANUFACTURING TECHNOLOGY			English	Article						Recycling; Composite; Additive manufacturing		The vast Carbon Fiber Reinforced Polymer (CFRP) waste accumulated is pressing for its recycling. A novel recycling approach, which integrated carbon fiber reclamation and composite additive manufacturing, is proposed to process the CFRP waste into three Dimensional (3D) parts. In the experiments, the CFRP waste was recycled by supercritical n-butanol to yield reclaimed Carbon Fibers (rCFs). The rCFs were ground by a ball mill, mixed with Poly-Ether-Ether-Ketone (PEEK) powder and then extruded to the composite filament. The filament was fed to the Fused Deposition Modeling (FDM) printer to fabricate 3D parts. Mechanical and electrical properties of the parts were investigated and compared with that of pure PEEK. The results illustrate that the additive manufacturing-based approach offers a potential strategy to reuse the CFRP waste and rapidly fabricate the rCF reinforced plastics with complex geometry and function. (C) 2020 CIRP. Published by Elsevier Ltd. All rights reserved.	[Huang, Haihong; Liu, Weihao; Liu, Zhifeng] Hefei Univ Technol, Sch Mech Engn, Hefei 230009, Peoples R China		Huang, HH (corresponding author), Hefei Univ Technol, Sch Mech Engn, Hefei 230009, Peoples R China.	huanghaihong@hfut.edu.cn		Liu, Weihao/0000-0002-7031-0405; Huang, Haihong/0000-0001-9382-1059	National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51722502, 51775162]	This work was financially supported by the National Natural Science Foundation of China (51722502 and 51775162).		12	5	5	2	13	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0007-8506	1726-0604		CIRP ANN-MANUF TECHN	CIRP Ann-Manuf. Technol.		2020	69	1					33	36		10.1016/j.cirp.2020.04.085			4	Engineering, Industrial; Engineering, Manufacturing	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	NA7XM	WOS:000560031000009					2022-01-29	
J	Agrawal, P; Haridas, RS; Yadav, S; Thapliyal, S; Gaddam, S; Verma, R; Mishra, RS				Agrawal, Priyanshi; Haridas, Ravi Sankar; Yadav, Surekha; Thapliyal, Saket; Gaddam, Supreeth; Verma, Ravi; Mishra, Rajiv S.			Processing-structure-property correlation in additive friction stir deposited Ti-6Al-4V alloy from recycled metal chips	ADDITIVE MANUFACTURING			English	Article						Additive friction stir deposition; Solid state additive manufacturing; Microstructure; Metal recycling; Mechanical properties	MECHANICAL-PROPERTIES; HEAT-TREATMENT; COMPONENTS; MICROSTRUCTURE; BEHAVIOR; TEXTURE; FATIGUE; PHASE	Additive friction stir deposition (AFSD) is a novel thermo-mechanical solid state additive manufacturing process. AFSD enables manufacturing of near net shape, fully dense builds with refined equiaxed grain structure resulting in excellent mechanical properties. AFSD has the potential to produce ingots and components/builds from recycled metals (chips/scraps/wastes from industrial machining processes or municipal recycling centers). In the present study, recycled Ti-6Al-4V alloy chips were deposited using additive friction stir deposition. Detailed microstructural and mechanical property investigation of the deposited material fosters understanding of the effect of deposition variables on the microstructure as well as mechanical properties. The as-deposited microstructure was characterized by lamellar alpha/beta colonies inside fine equiaxed prior beta grains containing alpha phase at the grain boundary. Additive friction stir deposited Ti-6Al-4V alloy using consolidated recycled metal chips as raw material exhibited tensile properties better than other additive processes; thus, AFSD of recycled metal provides opportunities to produce structurally sound components with reduced energy consumption as well as reducing environmental waste.	[Agrawal, Priyanshi; Haridas, Ravi Sankar; Yadav, Surekha; Thapliyal, Saket; Gaddam, Supreeth; Mishra, Rajiv S.] Univ North Texas, Dept Mat Sci & Engn, Denton, TX 76207 USA; [Agrawal, Priyanshi; Mishra, Rajiv S.] Univ North Texas, Ctr Agile & Adapt Addit Mfg CAAAM, Denton, TX 76207 USA; [Verma, Ravi] Mat & Mfg Tech, Boeing Res & Technol, 8900 Frost Ave MC S245-1003, Berkeley, MO 63134 USA		Mishra, RS (corresponding author), Univ North Texas, Dept Mat Sci & Engn, Denton, TX 76207 USA.; Mishra, RS (corresponding author), Univ North Texas, Ctr Agile & Adapt Addit Mfg CAAAM, Denton, TX 76207 USA.	Rajiv.Mishra@unt.edu	Yadav, Surekha/ABF-6252-2021	Yadav, Surekha/0000-0002-7731-6607	Center for Agile & Adaptive and Additive Manufacturing (CAAAM) funded through State of Texas Appropriation [190405-105-805008-220]	The authors acknowledge the infrastructure and support of Center for Agile & Adaptive and Additive Manufacturing (CAAAM) funded through State of Texas Appropriation #190405-105-805008-220. The authors thank Materials Research Facility for access microscopyfacilities at the University of North Texas. They are grateful to MELD Corporation (Dr. Chase Cox) for printing the specimens.		48	1	1	17	17	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	2214-8604	2214-7810		ADDIT MANUF	Addit. Manuf.	NOV	2021	47								102259	10.1016/j.addma.2021.102259			11	Engineering, Manufacturing; Materials Science, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Materials Science	UX1CO	WOS:000700585300004					2022-01-29	
C	Morsidi, M; Mativenga, PT; Fahad, M		Kerrigan, K; Mativenga, P; ElDessouky, H		Morsidi, Maziri; Mativenga, Paul T.; Fahad, Muhammad			Fused Deposition Modelling Filament with Recyclate Fibre Reinforcement	2ND CIRP CONFERENCE ON COMPOSITE MATERIAL PARTS MANUFACTURING	Procedia CIRP		English	Proceedings Paper	2nd CIRP Conference on Composite Material Parts Manufacturing (CIRP-CCMPM)	OCT 10-11, 2019	Univ Sheffield, Adv Mfg Res Ctr, Catcliffe, ENGLAND	Int Acad Prod Engn	Univ Sheffield, Adv Mfg Res Ctr	Recycling; Additive manufacturing; Sustainabile development; Fused Deposition Modelling; Fibre reinforced polymers	CARBON-FIBER; GLASS-FIBER; POLYMER COMPOSITES; PYROLYSIS; RECOVERY	The legacy of composite waste from manufacturing processes or end of life products is a growing and urgent challenge to be solved. An emerging idea is to incorporate composite recyclate in additive manufacturing. The focus of this work was to develop this capability and research the functional performance of additive manufactured parts through incorporating recyclate fibre in fused deposition modeling material. The research focused on additive manufacturing with virgin acrylonitrile butadiene styrene (ABS) and recyclate fibre reinforced ABS. The effect on tensile strength for different fibres (recycled by pyrolysis and mechanical process) was evaluated. Tensile test result showed an improvement by 43%, 49% and 69% when ABS was reinforced with mechanically recycled fibre, Pyrolysis recycled fibre and virgin carbon fibre respectively. The work identified the key potential for additive manufacturing to utilize recyclate and functional benefits as well as the areas for further scientific research. This is important for new innovations for use of composite recyclate to improve the functionality of additively manufactured parts. (C) 2020 The Authors. Published by Elsevier B.V.	[Morsidi, Maziri; Mativenga, Paul T.; Fahad, Muhammad] Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester M13 9PL, Lancs, England; [Morsidi, Maziri] Univ Teknol Brunei, Jalan Tungku Link, BE-1410 Gadong, Brunei		Morsidi, M (corresponding author), Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester M13 9PL, Lancs, England.; Morsidi, M (corresponding author), Univ Teknol Brunei, Jalan Tungku Link, BE-1410 Gadong, Brunei.	maziri.hajimorsidi@postgrad.manchester.ac.uk		Fahad, Muhammad/0000-0002-7349-8693	Henry Royce Institute for Advanced Materials through EPSRCUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/R00661X/1, EP/P025021/1, EP/P025498/1]; EPSRCUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/P025021/1, EP/S019367/1] Funding Source: UKRI	This work was supported by the Henry Royce Institute for Advanced Materials, funded through EPSRC grants EP/R00661X/1, EP/P025021/1 and EP/P025498/1.		30	1	1	1	2	ELSEVIER	AMSTERDAM	Radarweg 29, PO Box 211, AMSTERDAM, NETHERLANDS	2212-8271			PROC CIRP			2019	85						353	358		10.1016/j.procir.2019.09.026			6	Engineering, Manufacturing; Materials Science, Composites	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Materials Science	BP8UB	WOS:000567715100059		Green Published, gold			2022-01-29	
J	Cacace, S; Furlan, V; Sorci, R; Semeraro, Q; Boccadoro, M				Cacace, S.; Furlan, V.; Sorci, R.; Semeraro, Q.; Boccadoro, M.			Using recycled material to produce gas-atomized metal powders for additive manufacturing processes	JOURNAL OF CLEANER PRODUCTION			English	Article						Additive manufacturing; Sustainability; Stainless steel; Tensile strength	STAINLESS-STEEL PARTS; MECHANICAL-PROPERTIES; PROCESS PARAMETERS; LASER; BEHAVIOR; SUSTAINABILITY; IMPACT; MICROSTRUCTURE; DEPOSITION; EVOLUTION	Additive manufacturing refers to the technologies used to directly produce parts from a three-dimensional model. Recycled AISI 316L and standard AISI 316L materials were used to produce powders via gas atomization process, and two additive manufacturing technologies, i.e., selective laser melting and laser metal deposition, were investigated. This study aims to determine the feasibility of using recycled material to produce powders for additive manufacturing. For each technology, the effect of process parameters on the solidification of the recycled powders was evaluated. Then, tensile tests were conducted on the specimens produced using the optimized process parameters. Specimens from both the technologies exhibited higher ultimate tensile strength values than standard AISI 316L. Recycled powders made from selective laser melting and laser metal deposition exhibited tensile strength values of 653 +/- 1.79 MPa and 675 +/- 2 MPa, respectively, whereas the standard powders exhibited a tensile strength of 594 +/- 0.89 and 585 +/- 3.1 MPa, respectively. We conclude that recycled AISI 316L can be used to produce powders for AM applications, resulting in good processability and high mechanical properties. (c) 2020 Elsevier Ltd. All rights reserved.	[Cacace, S.; Furlan, V.; Semeraro, Q.] Politecn Milan, Dipartimento Ingn Meccan, Via La Masa 1, I-20156 Milan, Italy; [Sorci, R.] Ctr Sviluppo Mat SpA, Rina Consulting, Via Castel Romano 100, I-00128 Rome, Italy; [Boccadoro, M.] Tenova SpA, Via Gerenzano 58, I-21053 Castellanza, Italy		Cacace, S (corresponding author), Politecn Milan, Dipartimento Ingn Meccan, Via La Masa 1, I-20156 Milan, Italy.	stefania.cacace@polimi.it	Cacace, Stefania/AAS-9170-2021	Cacace, Stefania/0000-0003-2121-6276	European UnionEuropean Commission; Repubblica Italiana; Regione LombardiaRegione Lombardia; FESR	This work was supported by European Union, Repubblica Italiana, Regione Lombardia and FESR for the project MADE4LO under the call "POR FESR 2014-2020 ASSE I - AZIONE I.1.B.1.3".		34	3	3	4	12	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0959-6526	1879-1786		J CLEAN PROD	J. Clean Prod.	SEP 20	2020	268								122218	10.1016/j.jclepro.2020.122218			13	Green & Sustainable Science & Technology; Engineering, Environmental; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics; Engineering; Environmental Sciences & Ecology	ND0JN	WOS:000561594800073					2022-01-29	
J	Sanchez, FAC; Boudaoud, H; Camargo, M; Pearce, JM				Sanchez, Fabio A. Cruz; Boudaoud, Hakim; Camargo, Mauricio; Pearce, Joshua M.			Plastic recycling in additive manufacturing: A systematic literature review and opportunities for the circular economy	JOURNAL OF CLEANER PRODUCTION			English	Review						Distributed recycling; Plastic recycling; Additive manufacturing; 3D printing; Circular economy	LIFE-CYCLE ASSESSMENT; OF-THE-ART; MECHANICAL-PROPERTIES; DIMENSIONAL ACCURACY; ENERGY-CONSUMPTION; EXTRUSION SYSTEM; VALUE CREATION; WASTE POLYMER; LARGE-SCALE; 3D PRINTER	The rapid technical evolution of additive manufacturing (AM) enables a new path to a circular economy using distributed recycling and production. This concept of Distributed Recycling via Additive Manufacturing (DRAM) is related to the use of recycled materials by means of mechanical recycling process in the 3D printing process chain. This paper aims to examine the current advances on thermoplastic recycling processes via additive manufacturing technologies. After proposing a closed recycling global chain for DRAM, a systematic literature review including 92 papers from 2009 to 2019 was performed using the scopus, web of science and springer databases. This work examines main topics from six stages (recovery, preparation, compounding, feedstock, printing, quality) of the proposed DRAM chain. The results suggested that few works have been done for the recovery and preparation stages, while a great progress has already been done for the other stages in order to validate the technical feasibility, environmental impact, and economic viability. Potential research paths in the pre-treatment of recycled material at local level and printing chain phases were identified in order to connect the development of DRAM with the circular economy ambition at micro, meso and macro level. The development of each stage proposed using the open source approach is a relevant path to scale DRAM to reach the full technical potential as a centerpiece of the circular economy. (C) 2020 The Authors. Published by Elsevier Ltd.	[Sanchez, Fabio A. Cruz; Boudaoud, Hakim; Camargo, Mauricio] Univ Lorraine, Equipe Rech Proc Innovatifs, ERPI, F-54000 Nancy, France; [Pearce, Joshua M.] Michigan Technol Univ, Dept Elect & Comp Engn, Dept Mat Sci & Engn, Houghton, MI 49931 USA		Sanchez, FAC (corresponding author), Univ Lorraine, Equipe Rech Proc Innovatifs, ERPI, F-54000 Nancy, France.	cruzsanc1@univ-lorraine.fr	Sanchez, Fabio A. Cruz/AAW-8943-2020	Sanchez, Fabio A. Cruz/0000-0001-8529-5327	European Union's Horizon 2020 research and innovation programme [869952]; french PIA project "Lorraine Universite d'Excellence" [ANR-15-IDEX-04-LUE]	This project has received funding from the European Union's Horizon 2020 research and innovation programme under grant agreement No 869952 and by the french PIA project " Lorraine Universite d'Excellence ", reference ANR-15-IDEX-04-LUE "		246	51	51	15	62	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0959-6526	1879-1786		J CLEAN PROD	J. Clean Prod.	AUG 10	2020	264								121602	10.1016/j.jclepro.2020.121602			22	Green & Sustainable Science & Technology; Engineering, Environmental; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Engineering; Environmental Sciences & Ecology	LV4EH	WOS:000538390100012		Green Submitted, hybrid, Green Published	Y	N	2022-01-29	
J	Liu, WH; Huang, HH; Zhu, LB; Liu, ZF				Liu, Weihao; Huang, Haihong; Zhu, Libin; Liu, Zhifeng			Integrating carbon fiber reclamation and additive manufacturing for	COMPOSITES PART B-ENGINEERING			English	Article						A; polymer-matrix composites (PMCs); E; Recycling; E; Additive manufacturing; B; Physical properties	REINFORCED POLYMERS; MECHANICAL-PROPERTIES; COMPOSITES; PERFORMANCE	There is a large amount of carbon fiber reinforced polymer (CFRP) waste generated annually, mainly due to the difficulty in recycling CFRPs. This work presents a novel additive manufacturing-based recycling approach that can be used to reclaim CFRP waste and to re-manufacture the carbon fiber into 3D printed composite parts. A trial of this idea was set up, in which carbon fiber was first reclaimed from CFRP waste using supercritical fluid and then mixed with Poly-Ether-Ether-Ketone to produce composite filaments. The filaments were then fed into a printer of fused deposition modeling (i.e., a 3D printing process) and the recycled CFRP parts were fabricated. The engineering application-oriented tests demonstrate that the reclaimed carbon fiber can modify the performances of 3D printed part effectively in terms of mechanical strength, electrical conductivity, heat conduction and wear resistance. This work illustrates that the additive manufacturing-based recycling approach offers a possible strategy to recycle CFRP waste and fabricate high-performance engineering parts with complex geometries, which are economical and environmentally friendly.	[Liu, Weihao; Huang, Haihong; Zhu, Libin; Liu, Zhifeng] Hefei Univ Technol, Sch Mech Engn, Hefei 230009, Peoples R China; [Liu, Weihao; Huang, Haihong; Zhu, Libin; Liu, Zhifeng] Hefei Univ Technol, Key Lab Green Design & Mfg Mech Ind, Hefei 230009, Peoples R China		Huang, HH (corresponding author), Hefei Univ Technol, Sch Mech Engn, Hefei 230000, Anhui, Peoples R China.	huanghaihong@hfut.edu.cn		Liu, Weihao/0000-0002-7031-0405	National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51775162, 51722502]	This work was financially supported by the National Natural Science Foundation of China (51775162 and 51722502)		42	3	3	7	17	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1359-8368	1879-1069		COMPOS PART B-ENG	Compos. Pt. B-Eng.	JUN 15	2021	215								108808	10.1016/j.compositesb.2021.108808			17	Engineering, Multidisciplinary; Materials Science, Composites	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Materials Science	RT8SV	WOS:000644726600001					2022-01-29	
J	Razumov, NG; Masaylo, DV; Silin, AO; Borisov, EV; Ozerskoy, NE; Goncharov, IS; Popovich, AA				Razumov, N. G.; Masaylo, D. V.; Silin, A. O.; Borisov, E. V.; Ozerskoy, N. E.; Goncharov, I. S.; Popovich, A. A.			Investigation of additive manufacturing from the heat-resistant steel powder produced by recycling of the machining chips	JOURNAL OF MANUFACTURING PROCESSES			English	Article						Additive manufacturing; Plasma spheroidization; Spherical powder; High-alloyed heat-resistant stee; Machining chips recycling	INDUCTION PLASMA SPHEROIDIZATION; TENSILE; METAL; ALLOY	The paper presents the results of the investigation into the manufacturing of spherical powder from machining chips of heat-resistant Fe-11Cr-1.5Ni-0.2V-0.4Mo-0.1C steel. The obtained powder was used to manufacture bulk samples by additive manufacturing methods (SLM and DED). A comparative analysis of the chemical composition and mechanical characteristics of the samples meets the requirements of the reference document (RD).	[Razumov, N. G.; Masaylo, D. V.; Silin, A. O.; Borisov, E. V.; Ozerskoy, N. E.; Goncharov, I. S.; Popovich, A. A.] Peter Great St Petersburg Polytech Univ, St Petersburg, Russia; [Goncharov, I. S.] Politecn Milan, Milan, Italy		Goncharov, IS (corresponding author), Peter Great St Petersburg Polytech Univ, St Petersburg, Russia.	9670522@mail.ru	Borisov, Evgenii/G-1806-2014; Razumov, Nikolay Gennadevich/Z-2165-2019	Goncharov, Ivan/0000-0003-1339-7265; Razumov, Nikolay/0000-0002-7147-6239	Ministry of Science and Higher Education of the Russian Federation: Advanced Digital Technologies [075-15-2020-934]	The research is partially funded by the Ministry of Science and Higher Education of the Russian Federation: Advanced Digital Technologies (contract No. 075-15-2020-934 dated 17.11.2020)		28	2	2	2	4	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1526-6125	2212-4616		J MANUF PROCESS	J. Manuf. Process.	APR	2021	64						1070	1076		10.1016/j.jmapro.2021.02.025			7	Engineering, Manufacturing	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	RP9RA	WOS:000642058000003					2022-01-29	
J	Schneevogt, H; Stelzner, K; Yilmaz, B; Abali, BE; Klunker, A; Vollmecke, C				Schneevogt, Helge; Stelzner, Kevin; Yilmaz, Buket; Abali, Bilen Emek; Klunker, Andre; Voellmecke, Christina			Sustainability in additive manufacturing: Exploring the mechanical potential of recycled PET filaments	COMPOSITES AND ADVANCED MATERIALS			English	Article						sustainability; additive manufacturing; architectured materials; tensile experiments		Herein, the effects of recycled polymers on the mechanical properties of additively manufactured specimens, specifically those derived by fused deposition modelling, are determined. The intention is to investigate how 3D-printing can be more sustainable and how recycled polymers compare against conventional ones. Initially, sustainability is discussed in general and more sustainable materials such as recycled filaments and biodegradable filaments are introduced. Subsequently, a comparison of the recycled filament recycled Polyethylene terephthalate (rePET) and a conventional Polyethylene terephthalate with glycol (PETG) filament is drawn upon their mechanical performance under tension, and the geometry and slicing strategy for the 3D-printed specimens is discussed. Finally, the outcomes from the experiments are compared against numerically determined results and conclusions are drawn.	[Schneevogt, Helge; Stelzner, Kevin; Yilmaz, Buket; Klunker, Andre; Voellmecke, Christina] Tech Univ Berlin, Inst Mech, Sch 5, Stabil & Failure Functionally Optimized Struct Gr, Sekr MS2,Einsteinufer 5, D-10587 Berlin, Germany; [Abali, Bilen Emek] Uppsala Univ, Div Appl Mech, Dept Mat Sci & Engn, Uppsala, Sweden		Vollmecke, C (corresponding author), Tech Univ Berlin, Inst Mech, Sch 5, Stabil & Failure Functionally Optimized Struct Gr, Sekr MS2,Einsteinufer 5, D-10587 Berlin, Germany.	christina.voellmecke@tu-berlin.de	Abali, Bilen Emek/Q-4114-2017	Abali, Bilen Emek/0000-0002-8735-6071	Open Access Publication Fund of TU Berlin	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: We acknowledge support by the Open Access Publication Fund of TU Berlin.		30	1	1	6	10	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND		2634-9833		COMPOS ADV MATER	Compos. Adv. Mater.	APR 13	2021	30								26349833211000063	10.1177/26349833211000063			8	Materials Science, Composites	Science Citation Index Expanded (SCI-EXPANDED)	Materials Science	RW0VL	WOS:000646242500001		Green Published, gold			2022-01-29	
